Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    0.01,     3.000,     1.913,     1.087,     0.000,     1.913
    0.02,     3.000,     3.000,     0.000,     0.000,     3.000
    0.03,     3.000,     3.000,     0.000,     0.000,     3.000
    0.04,     3.000,     3.000,     0.000,     0.000,     3.000
    0.05,     3.000,     3.000,     0.000,     0.000,     3.000
    0.06,     3.000,     3.000,     0.000,     0.000,     3.000
    0.07,     3.000,     3.000,     0.000,     0.000,     3.000
    0.08,     3.000,     3.000,     0.000,     0.000,     3.000
    0.09,     3.000,     3.000,     0.000,     0.000,     3.000
    0.10,     3.000,     3.000,     0.000,     0.000,     3.000
    0.11,     3.000,     3.000,     0.000,     0.000,     3.000
    0.12,     3.000,     3.000,     0.000,     0.000,     3.000
    0.13,     3.000,     3.000,     0.000,     0.000,     3.000
    0.14,     3.000,     3.000,     0.000,     0.000,     3.000
    0.15,     3.000,     3.000,     0.000,     0.000,     3.000
    0.16,     3.000,     3.000,     0.000,     0.000,     3.000
    0.17,     3.000,     3.000,     0.000,     0.000,     3.000
    0.18,     3.000,     3.000,     0.000,     0.000,     3.000
    0.19,     3.000,     3.000,     0.000,     0.000,     3.000
    0.20,     3.000,     3.000,     0.000,     0.000,     3.000
    0.21,     3.000,     3.000,     0.000,     0.000,     3.000
    0.22,     3.000,     3.000,     0.000,     0.000,     3.000
    0.23,     3.000,     3.000,     0.000,     0.000,     3.000
    0.24,     3.000,     3.000,     0.000,     0.000,     3.000
    0.25,     3.000,     3.000,     0.000,     0.000,     3.000
    0.26,     3.000,     3.000,     0.000,     0.000,     3.000
    0.27,     3.000,     3.000,     0.000,     0.000,     3.000
    0.28,     3.000,     3.000,     0.000,     0.000,     3.000
    0.29,     3.000,     3.000,     0.000,     0.000,     3.000
    0.30,     3.000,     3.000,     0.000,     0.000,     3.000
    0.31,     3.000,     3.000,     0.000,     0.000,     3.000
    0.32,     3.000,     3.000,     0.000,     0.000,     3.000
    0.33,     3.000,     3.000,     0.000,     0.000,     3.000
    0.34,     3.000,     3.000,     0.000,     0.000,     3.000
    0.35,     3.000,     3.000,     0.000,     0.000,     3.000
    0.36,     3.000,     3.000,     0.000,     0.000,     3.000
    0.37,     3.000,     3.000,     0.000,     0.000,     3.000
    0.38,     3.000,     3.000,     0.000,     0.000,     3.000
    0.39,     3.000,     3.000,     0.000,     0.000,     3.000
    0.40,     3.000,     3.000,     0.000,     0.000,     3.000
    0.41,     3.000,     3.000,     0.000,     0.000,     3.000
    0.42,     3.000,     3.000,     0.000,     0.000,     3.000
    0.43,     3.000,     3.000,     0.000,     0.000,     3.000
    0.44,     3.000,     3.000,     0.000,     0.000,     3.000
    0.45,     3.000,     3.000,     0.000,     0.000,     3.000
    0.46,     3.000,     3.000,     0.000,     0.000,     3.000
    0.47,     3.000,     3.000,     0.000,     0.000,     3.000
    0.48,     3.000,     3.000,     0.000,     0.000,     3.000
    0.49,     3.000,     3.000,     0.000,     0.000,     3.000
    0.50,     3.000,     3.000,     0.000,     0.000,     3.000
    0.51,     3.000,     3.000,     0.000,     0.000,     3.000
    0.52,     3.000,     3.000,     0.000,     0.000,     3.000
    0.53,     3.000,     3.000,     0.000,     0.000,     3.000
    0.54,     3.000,     3.000,     0.000,     0.000,     3.000
    0.55,     3.000,     3.000,     0.000,     0.000,     3.000
    0.56,     3.000,     3.000,     0.000,     0.000,     3.000
    0.57,     3.000,     3.000,     0.000,     0.000,     3.000
    0.58,     3.000,     3.000,     0.000,     0.000,     3.000
    0.59,     3.000,     3.000,     0.000,     0.000,     3.000
    0.60,     3.000,     3.000,     0.000,     0.000,     3.000
    0.61,     3.000,     3.000,     0.000,     0.000,     3.000
    0.62,     3.000,     3.000,     0.000,     0.000,     3.000
    0.63,     3.000,     3.000,     0.000,     0.000,     3.000
    0.64,     3.000,     3.000,     0.000,     0.000,     3.000
    0.65,     3.000,     3.000,     0.000,     0.000,     3.000
    0.66,     3.000,     3.000,     0.000,     0.000,     3.000
    0.67,     3.000,     3.000,     0.000,     0.000,     3.000
    0.68,     3.000,     3.000,     0.000,     0.000,     3.000
    0.69,     3.000,     3.000,     0.000,     0.000,     3.000
    0.70,     3.000,     3.000,     0.000,     0.000,     3.000
    0.71,     3.000,     3.000,     0.000,     0.000,     3.000
    0.72,     3.000,     3.000,     0.000,     0.000,     3.000
    0.73,     3.000,     3.000,     0.000,     0.000,     3.000
